[Epoch 074] (Overall) rmse: 2.3145 | mae: 1.7236 | r2: 0.2809 | pearson_r: 0.7188 | spearman_r: 0.7112 | ce: -0.0000 
[Epoch 075] (Overall) rmse: 2.1753 | mae: 1.6032 | r2: 0.3648 | pearson_r: 0.7245 | spearman_r: 0.7241 | ce: -0.0000 
[Epoch 076] (Overall) rmse: 2.2289 | mae: 1.7155 | r2: 0.3331 | pearson_r: 0.7197 | spearman_r: 0.7162 | ce: -0.0000 
[Epoch 077] (Overall) rmse: 2.0989 | mae: 1.5269 | r2: 0.4086 | pearson_r: 0.7237 | spearman_r: 0.7179 | ce: -0.0000 
[Epoch 078] (Overall) rmse: 2.1659 | mae: 1.6013 | r2: 0.3703 | pearson_r: 0.7227 | spearman_r: 0.7206 | ce: -0.0000 
[Epoch 079] (Overall) rmse: 2.1529 | mae: 1.5861 | r2: 0.3778 | pearson_r: 0.7216 | spearman_r: 0.7169 | ce: -0.0000 
[Epoch 080] (Overall) rmse: 2.1480 | mae: 1.6028 | r2: 0.3806 | pearson_r: 0.7212 | spearman_r: 0.7181 | ce: -0.0000 
[Epoch 081] (Overall) rmse: 2.0818 | mae: 1.5160 | r2: 0.4182 | pearson_r: 0.7325 | spearman_r: 0.7313 | ce: -0.0000 
[Epoch 082] (Overall) rmse: 2.0540 | mae: 1.4970 | r2: 0.4337 | pearson_r: 0.7336 | spearman_r: 0.7298 | ce: -0.0000 
[Epoch 083] (Overall) rmse: 2.1170 | mae: 1.5416 | r2: 0.3984 | pearson_r: 0.7231 | spearman_r: 0.7236 | ce: -0.0000 
[Epoch 084] (Overall) rmse: 2.5364 | mae: 1.9915 | r2: 0.1364 | pearson_r: 0.7188 | spearman_r: 0.7159 | ce: -0.0000 
[Epoch 085] (Overall) rmse: 2.1828 | mae: 1.6455 | r2: 0.3604 | pearson_r: 0.7276 | spearman_r: 0.7270 | ce: -0.0000 
[Epoch 086] (Overall) rmse: 1.9954 | mae: 1.4605 | r2: 0.4655 | pearson_r: 0.7273 | spearman_r: 0.7212 | ce: -0.0000 
[Epoch 087] (Overall) rmse: 2.1981 | mae: 1.6102 | r2: 0.3514 | pearson_r: 0.7234 | spearman_r: 0.7236 | ce: -0.0000 
[Epoch 088] (Overall) rmse: 2.0935 | mae: 1.5267 | r2: 0.4117 | pearson_r: 0.7202 | spearman_r: 0.7130 | ce: -0.0000 
[Epoch 089] (Overall) rmse: 2.0527 | mae: 1.5329 | r2: 0.4344 | pearson_r: 0.7206 | spearman_r: 0.7173 | ce: -0.0000 
[Epoch 090] (Overall) rmse: 2.2233 | mae: 1.6345 | r2: 0.3365 | pearson_r: 0.7277 | spearman_r: 0.7302 | ce: -0.0000 
[Epoch 091] (Overall) rmse: 2.1452 | mae: 1.6168 | r2: 0.3822 | pearson_r: 0.7245 | spearman_r: 0.7283 | ce: -0.0000 
[Epoch 092] (Overall) rmse: 2.0844 | mae: 1.5223 | r2: 0.4168 | pearson_r: 0.7255 | spearman_r: 0.7228 | ce: -0.0000 
[Epoch 093] (Overall) rmse: 2.2021 | mae: 1.5722 | r2: 0.3490 | pearson_r: 0.7216 | spearman_r: 0.7138 | ce: -0.0000 
[Epoch 094] (Overall) rmse: 2.1521 | mae: 1.5926 | r2: 0.3783 | pearson_r: 0.7211 | spearman_r: 0.7174 | ce: -0.0000 
[Epoch 095] (Overall) rmse: 2.0864 | mae: 1.5130 | r2: 0.4156 | pearson_r: 0.7177 | spearman_r: 0.7225 | ce: -0.0000 
[Epoch 096] (Overall) rmse: 2.3012 | mae: 1.6949 | r2: 0.2891 | pearson_r: 0.7151 | spearman_r: 0.7118 | ce: -0.0000 
[Epoch 097] (Overall) rmse: 2.1662 | mae: 1.5573 | r2: 0.3701 | pearson_r: 0.7218 | spearman_r: 0.7192 | ce: -0.0000 
[Epoch 098] (Overall) rmse: 2.1328 | mae: 1.5374 | r2: 0.3894 | pearson_r: 0.7176 | spearman_r: 0.7198 | ce: -0.0000 
[Epoch 099] (Overall) rmse: 2.1235 | mae: 1.5650 | r2: 0.3947 | pearson_r: 0.7232 | spearman_r: 0.7238 | ce: -0.0000 
[Epoch 100] (Overall) rmse: 2.0799 | mae: 1.5044 | r2: 0.4193 | pearson_r: 0.7241 | spearman_r: 0.7226 | ce: -0.0000 
[Epoch 101] (Overall) rmse: 2.0998 | mae: 1.5169 | r2: 0.4081 | pearson_r: 0.7242 | spearman_r: 0.7209 | ce: -0.0000 
[Epoch 102] (Overall) rmse: 2.1048 | mae: 1.5279 | r2: 0.4053 | pearson_r: 0.7232 | spearman_r: 0.7216 | ce: -0.0000 
