Working Directory,Output File,datetime,node
NO-SLAB,/p/lustre5/ranganath2/fast2/error-logs/job-id-fyimXLB.txt,job-id-fyimXLB.txt,CPU
/p/vast1/ranganath2/fast.tmp/DENV2/EGNN-20250321-183538-CPU-cui80utt,testing,20250321-185823,0
/p/vast1/ranganath2/fast.tmp/ZIKA/EGNN-20250321-185920-CPU-bbhj_uk9,/p/lustre5/ranganath2/fast2/error-logs/job-id-f22KzG5M.txt,job-id-f22KzG5M.txt,0
/p/vast1/ranganath2/fast.tmp/ZIKA/EGNN-20250321-190635-CPU-0uojg5z8,/p/lustre5/ranganath2/fast2/error-logs/job-id-f21S6hDH.txt,job-id-f21S6hDH.txt,CPU
/p/vast1/ranganath2/fast.tmp/ZIKA/EGNN-20250321-190913-CPU-qe1_7n3n-SLAB,/p/lustre5/ranganath2/fast2/error-logs/job-id-f23wPUq5.txt,job-id-f23wPUq5.txt,CPU
/p/vast1/ranganath2/fast.tmp/ZIKA/EGNN-20250323-222126-CPU-nj6a68yc-NO-SLAB,/p/lustre5/ranganath2/fast2/error-logs/job-id-f22TQCV5.txt,job-id-f22TQCV5.txt,CPU
/p/vast1/ranganath2/fast.tmp/ZIKA/EGNN-20250323-222208-CPU-rxfefka_-NO-SLAB,/p/lustre5/ranganath2/fast2/error-logs/job-id-f21BGpPq.txt,job-id-f21BGpPq.txt,CPU
/p/vast1/ranganath2/fast.tmp/ZIKA/EGNN-20250323-222229-CPU-cyykv9zm-NO-SLAB-NO-WORKERS-1,/p/lustre5/ranganath2/fast2/error-logs/job-id-fymjVts.txt,job-id-fymjVts.txt,CPU
/p/vast1/ranganath2/fast.tmp/MOLSTRUCT/EGNN-20250319-110304-firqyiik1vP-z0v870i2/,testing,20250324-120801,CPU
/p/lustre1/ranganath2/fast.tmp/DENV2/EGNN-20250514-132745-9052-asd9pr1z,/g/g91/ranganath2/fast2/logs/9119-20250514-145032.txt,20250514-145032.txt,9119
